Taxonomy,Fold donor enrichment,Fold final enrichment,Donor median abundance,Initial ASD median abundance,Final ASD median abundance,"t (two-tailed, one-sample)",p-value,FDR p-value
k__Bacteria;p__Proteobacteria,2.192234340800004,1.9608077815225773,0.0382512512092,0.0174485229509,0.0342131995782,1.820900154030061,0.0886275037225192,0.333408228289477
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,0.26850526229280863,0.6303918579952223,0.127006656226,0.4730136576895,0.298183958528,-1.7448531222812425,0.10145743581169588,0.3445158432531809
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,0.26850526229280863,0.6303404674590194,0.127006656226,0.4730136576895,0.2981596501025,-1.7446056329085717,0.10150172683514527,0.3445158432531809
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus,5.45512943507772,2.353750366669695,0.00233955105912,0.00042887177783099996,0.001009457104324,1.7518282133115577,0.1002161191445252,0.3445158432531809
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,1.4537048915505264,1.057597900303492,0.23055721438700003,0.15859973762700003,0.167734749503,1.7510609982182537,0.10035200012852624,0.3445158432531809
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae,4.305720464748709,2.0447502279804746,0.0128079887116,0.002974644735175,0.00608240550041,1.7391490566294705,0.10248256096771836,0.3445158432531809
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina,inf,inf,0.0,0.0,3.00066014523e-05,-1.7077361954246626,0.10829210840480251,0.35646152349914156
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales;f__Victivallaceae,inf,inf,0.0,0.0,3.00066014523e-05,1.5684792098270004,0.13761978637818464,0.38828439728130665
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae,7.00622957975486,0.3821734490503971,0.0010704804316200001,0.00015278980219450003,5.8392205684400006e-05,-1.5825566844116778,0.1343749924500273,0.38828439728130665
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae],1.0624904705123335,1.708539952451138,3.26285565127e-05,3.07095050904e-05,5.246841636695e-05,1.5863014037438699,0.13352290283123225,0.38828439728130665
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,0.0,0.0,0.0,3.47011581334e-05,0.0,-1.6200663479552326,0.12604601977297009,0.38828439728130665
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales,7.00622957975486,0.3821734490503971,0.0010704804316200001,0.00015278980219450003,5.8392205684400006e-05,-1.5825566844116778,0.1343749924500273,0.38828439728130665
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales,inf,inf,0.0,0.0,3.00066014523e-05,1.5684792098270004,0.13761978637818464,0.38828439728130665
k__Bacteria;p__Lentisphaerae,inf,inf,0.0,0.0,3.00066014523e-05,1.5684792098270004,0.13761978637818464,0.38828439728130665
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria],inf,inf,0.0,0.0,3.00066014523e-05,1.5684792098270004,0.13761978637818464,0.38828439728130665
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus,6.817633863031692,0.11661576781813135,0.000954144917775,0.0001399525021355,1.63206684946e-05,-1.5486355408272143,0.1423065079883887,0.39446365372220027
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__,1.243790419092635,1.2883749969655491,0.00010514362619299998,8.453484170565e-05,0.00010891257642600001,1.5069101159648899,0.15260256766106226,0.4157104429387558
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Subdoligranulum,inf,inf,0.0,0.0,5.5787021859550004e-05,1.4351106715299005,0.17177806298381076,0.46001582968545934
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,0.060561697902117524,0.7895824806565813,0.00330150986247,0.054514816737900006,0.043043944232450004,-1.3800641285547652,0.18779045282872137,0.4837648464740541
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other,0.9815254779535907,0.9094902096812993,0.00248059166705,0.002527281993965,0.002298538230615,-1.3633265614650847,0.1928935780244646,0.4837648464740541
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other;Other,0.9815254779535907,0.9094902096812993,0.00248059166705,0.002527281993965,0.002298538230615,-1.3633265614650847,0.1928935780244646,0.4837648464740541
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;Other,2.8765511550126703,0.7240821710964265,0.0361687548943,0.0125736525948,0.009104357669455,-1.388797495622986,0.18517163277719212,0.4837648464740541
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae],4.580494963462483,8.335409399069519,0.000379897970259,8.293819189615e-05,0.000691323784273,-1.3526240523446982,0.19621514403277904,0.48440613683092326
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae];g__,4.580494963462483,8.335409399069519,0.000379897970259,8.293819189615e-05,0.000691323784273,-1.3372657953300355,0.20106214829701308,0.48873568355273944
k__Bacteria;Other;Other;Other;Other;Other,1.3010014577595006,1.570025829409554,0.000513830607177,0.000394950062594,0.0006200817995995001,1.1960964805830843,0.2502243679217925,0.5259983170590805
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae,0.4493353722946915,0.5328920262058734,0.000551242592678,0.001226795455392,0.0006537495159640001,1.1715621326246852,0.25964671551235424,0.5259983170590805
k__Bacteria;Other,1.3010014577595006,1.570025829409554,0.000513830607177,0.000394950062594,0.0006200817995995001,1.1960964805830843,0.2502243679217925,0.5259983170590805
k__Bacteria;Other;Other;Other,1.3010014577595006,1.570025829409554,0.000513830607177,0.000394950062594,0.0006200817995995001,1.1960964805830843,0.2502243679217925,0.5259983170590805
k__Bacteria;p__Verrucomicrobia,0.4493353722946915,0.5328920262058734,0.000551242592678,0.001226795455392,0.0006537495159640001,1.1715022120124032,0.2596700552570144,0.5259983170590805
